model_y1: loss=5.1190134399803355e-05
model_y2: loss=0.00014687780640088022
model_y3: loss=0.0001861502678366378
model_y4: loss=4.969974543200806e-05
model_y5: loss=0.00011655714479275048
model_z1: loss=7.56325971451588e-05
model_z2: loss=0.00033639059984125197
model_z3: loss=0.00021706616098526865
model_z4: loss=8.102950232569128e-05
model_z5: loss=0.00023333723947871476
